user_id,age,gender,disability_type,mobility_aid,preferred_style,budget_tier,size
58,29,Male,Amputee (prosthetic user),Prosthetic,Casual,Low,L
59,65,Female,Wheelchair user,Cane,Summer,Medium,M
60,73,Non-binary,Post-stroke / hemiplegia,None,Winter,High,XXL
61,24,Male,Amputee (prosthetic user),Wheelchair,Sport,Low,XS
62,41,Non-binary,None / general accessibility,None,Workwear,Low,XXL
63,68,Male,Limb difference (lower),None,Casual,High,L
64,17,Non-binary,Dwarfism / short stature,None,Formal,Low,XL
65,35,Male,Limited hand dexterity,None,Casual,High,XS
66,43,Female,Sensory sensitivity,None,Casual,High,S
67,62,Non-binary,None / general accessibility,None,Casual,High,XS
68,22,Non-binary,Post-stroke / hemiplegia,None,Workwear,High,XL
69,59,Female,Limb difference (lower),None,Formal,High,XXL
70,23,Male,Limb difference (lower),None,Sport,Medium,S
71,62,Female,Limb difference (upper),None,Sport,Low,XS
72,50,Non-binary,Amputee (prosthetic user),Walker,Casual,Low,XL
73,29,Non-binary,Sensory sensitivity,None,Sport,Low,M
74,32,Male,Limited hand dexterity,None,Sport,Medium,S
75,51,Non-binary,Amputee (prosthetic user),Cane,Workwear,High,XL
76,65,Non-binary,Wheelchair user,Walker,Sport,High,XS
77,55,Female,Visual impairment,None,Casual,Low,XXL
78,19,Male,Dwarfism / short stature,None,Sport,Medium,XL
79,17,Non-binary,Sensory sensitivity,None,Sport,Low,XXL
80,21,Non-binary,Limb difference (upper),None,Loungewear,Medium,XS
81,69,Non-binary,Limited hand dexterity,None,Loungewear,Medium,XS
82,57,Female,Wheelchair user,Wheelchair,Winter,Medium,S
83,19,Non-binary,Amputee (prosthetic user),Prosthetic,Workwear,Low,XS
84,69,Non-binary,Limited hand dexterity,None,Formal,High,XS
85,44,Non-binary,Limb difference (lower),None,Workwear,Low,L
86,33,Male,Visual impairment,None,Sport,Medium,XS
87,41,Male,Limb difference (lower),None,Winter,Low,XXL
88,59,Female,Limited hand dexterity,None,Summer,High,L
89,49,Non-binary,None / general accessibility,None,Formal,Low,S
90,25,Female,Visual impairment,None,Casual,Low,XXL
91,51,Female,Limb difference (lower),None,Summer,High,XXL
92,29,Female,Sensory sensitivity,None,Formal,High,XS
93,46,Male,Post-stroke / hemiplegia,None,Summer,Medium,S
94,63,Female,Sensory sensitivity,None,Sport,Medium,S
95,30,Male,Sensory sensitivity,None,Winter,Low,L
96,23,Female,Limb difference (lower),None,Summer,Low,M
97,29,Non-binary,Limb difference (lower),None,Workwear,Medium,XXL
98,38,Female,Dwarfism / short stature,None,Casual,Low,M
99,72,Non-binary,Visual impairment,None,Sport,Low,XS
100,55,Female,None / general accessibility,None,Sport,High,M
101,36,Non-binary,Post-stroke / hemiplegia,None,Workwear,Low,L
102,31,Male,None / general accessibility,None,Sport,Low,XXL
103,60,Male,Post-stroke / hemiplegia,None,Workwear,High,XXL
104,33,Female,Sensory sensitivity,None,Loungewear,Low,XXL
105,62,Non-binary,Limb difference (lower),None,Sport,High,XS
106,68,Non-binary,Limb difference (upper),None,Sport,High,L
107,39,Female,Limb difference (lower),None,Winter,Medium,XL
108,41,Male,Visual impairment,None,Loungewear,High,L
109,40,Non-binary,Visual impairment,None,Workwear,Medium,L
110,60,Male,Dwarfism / short stature,None,Sport,Medium,S
111,56,Non-binary,Post-stroke / hemiplegia,None,Workwear,High,M
112,44,Female,Amputee (prosthetic user),Prosthetic,Winter,Low,XL
113,30,Non-binary,Amputee (prosthetic user),Wheelchair,Winter,Low,M
114,60,Non-binary,Dwarfism / short stature,None,Winter,High,M
115,16,Male,Limited hand dexterity,None,Winter,Medium,S
116,40,Male,Sensory sensitivity,None,Casual,Low,S
117,22,Non-binary,Amputee (prosthetic user),None,Loungewear,Medium,XXL
118,24,Male,None / general accessibility,None,Winter,High,L
119,39,Female,Amputee (prosthetic user),Wheelchair,Formal,High,XXL
120,16,Male,Wheelchair user,Prosthetic,Formal,Low,XXL
121,59,Female,Dwarfism / short stature,None,Casual,High,S
122,23,Female,Limited hand dexterity,None,Formal,Medium,XXL
123,39,Non-binary,Dwarfism / short stature,None,Workwear,Medium,L
124,26,Non-binary,None / general accessibility,None,Workwear,Medium,XL
125,66,Male,Amputee (prosthetic user),Prosthetic,Loungewear,Medium,S
126,32,Non-binary,Limb difference (upper),None,Loungewear,High,S
127,23,Female,Limb difference (upper),None,Casual,High,M
128,50,Female,Sensory sensitivity,None,Sport,Medium,XL
129,50,Male,Limited hand dexterity,None,Formal,Low,L
130,48,Non-binary,Visual impairment,None,Formal,Low,L
131,74,Female,Post-stroke / hemiplegia,None,Workwear,Medium,L
132,20,Male,Wheelchair user,Prosthetic,Loungewear,High,XXL
133,57,Non-binary,Wheelchair user,Prosthetic,Loungewear,Low,M
134,54,Female,Limb difference (upper),None,Summer,Medium,XL
135,73,Non-binary,Dwarfism / short stature,None,Formal,Medium,S
136,56,Female,Limb difference (upper),None,Loungewear,Low,L
137,43,Non-binary,Limb difference (lower),None,Winter,Medium,XXL
138,22,Female,Visual impairment,None,Formal,High,XL
139,24,Female,Wheelchair user,Walker,Workwear,High,XS
140,23,Non-binary,Limited hand dexterity,None,Loungewear,Low,L
141,27,Male,Visual impairment,None,Sport,Medium,M
142,49,Female,Sensory sensitivity,None,Sport,Medium,L
143,48,Female,Limb difference (upper),None,Sport,Low,L
144,63,Non-binary,Wheelchair user,Walker,Casual,Medium,S
145,70,Non-binary,Limited hand dexterity,None,Casual,Low,S
146,38,Male,Sensory sensitivity,None,Workwear,Low,S
147,39,Female,Visual impairment,None,Winter,Low,XL
148,52,Female,Sensory sensitivity,None,Winter,Medium,M
149,50,Non-binary,Visual impairment,None,Workwear,High,XXL
150,59,Male,Limited hand dexterity,None,Sport,Low,XL
151,55,Female,Wheelchair user,Walker,Winter,Medium,L
152,37,Male,Sensory sensitivity,None,Workwear,High,XXL
153,42,Male,Sensory sensitivity,None,Winter,Medium,XXL
154,50,Male,None / general accessibility,None,Summer,High,XS
155,16,Non-binary,Limb difference (lower),None,Loungewear,High,M
156,50,Non-binary,Limited hand dexterity,None,Winter,Medium,XS
157,52,Female,Post-stroke / hemiplegia,None,Casual,Medium,M
158,62,Non-binary,Amputee (prosthetic user),Wheelchair,Loungewear,Low,XXL
159,29,Non-binary,Dwarfism / short stature,None,Sport,High,XL
160,18,Female,Amputee (prosthetic user),Prosthetic,Summer,High,XL
161,16,Female,Limb difference (upper),None,Summer,Low,XS
162,20,Female,Limb difference (upper),None,Formal,Medium,XL
163,41,Non-binary,None / general accessibility,None,Loungewear,Medium,XS
164,70,Female,Amputee (prosthetic user),Wheelchair,Loungewear,Low,M
165,29,Female,Limb difference (upper),None,Sport,High,XXL
166,54,Non-binary,Limb difference (upper),None,Casual,High,S
167,42,Male,Limited hand dexterity,None,Winter,Medium,L
168,24,Male,Dwarfism / short stature,None,Winter,Medium,XXL
169,30,Female,Amputee (prosthetic user),None,Casual,Medium,S
170,30,Non-binary,Post-stroke / hemiplegia,None,Formal,Medium,XXL
171,41,Female,None / general accessibility,None,Loungewear,High,XL
172,57,Female,Limb difference (lower),None,Winter,High,M
173,28,Non-binary,Limb difference (lower),None,Loungewear,Medium,M
174,66,Male,Limb difference (upper),None,Casual,High,S
175,47,Male,Limb difference (lower),None,Winter,High,XXL
176,54,Male,Visual impairment,None,Formal,High,L
177,64,Non-binary,Limb difference (upper),None,Workwear,High,XL
178,67,Male,Limb difference (upper),None,Summer,Low,M
179,47,Female,Sensory sensitivity,None,Formal,Medium,XS
180,19,Male,Dwarfism / short stature,None,Sport,Low,XS
181,45,Female,Dwarfism / short stature,None,Winter,Low,XXL
182,52,Male,Amputee (prosthetic user),None,Workwear,Medium,L
183,38,Female,Amputee (prosthetic user),Cane,Formal,Low,M
184,54,Male,Amputee (prosthetic user),None,Loungewear,Medium,XS
185,60,Non-binary,None / general accessibility,None,Winter,Low,S
186,30,Non-binary,Visual impairment,None,Sport,Low,S
187,58,Non-binary,Limited hand dexterity,None,Summer,Medium,XL
188,44,Non-binary,None / general accessibility,None,Formal,High,L
189,51,Female,Amputee (prosthetic user),Cane,Summer,High,L
190,28,Non-binary,Limb difference (upper),None,Workwear,Low,XL
191,47,Male,Limited hand dexterity,None,Winter,Low,M
192,22,Male,Limited hand dexterity,None,Formal,Low,XL
193,74,Male,Limited hand dexterity,None,Casual,Medium,L
194,66,Female,None / general accessibility,None,Sport,Low,S
195,37,Non-binary,Limb difference (upper),None,Sport,High,L
196,43,Non-binary,Limited hand dexterity,None,Formal,Medium,XXL
197,17,Non-binary,None / general accessibility,None,Summer,Low,L
198,57,Non-binary,Limited hand dexterity,None,Formal,High,S
199,60,Male,Limb difference (upper),None,Casual,Low,S
200,72,Non-binary,Limb difference (upper),None,Winter,High,M
201,68,Male,Amputee (prosthetic user),Prosthetic,Winter,Medium,XXL
202,21,Female,Post-stroke / hemiplegia,None,Workwear,High,L
203,43,Male,Amputee (prosthetic user),Walker,Casual,Medium,XXL
204,43,Non-binary,Limb difference (lower),None,Sport,Low,XS
205,59,Non-binary,Sensory sensitivity,None,Summer,High,XL
206,59,Non-binary,Wheelchair user,Cane,Workwear,Low,S
207,35,Non-binary,Amputee (prosthetic user),Prosthetic,Sport,Low,XL
208,45,Non-binary,Post-stroke / hemiplegia,None,Summer,Medium,XS
209,26,Female,Amputee (prosthetic user),Prosthetic,Sport,Medium,XXL
210,73,Male,Limited hand dexterity,None,Sport,Medium,XXL
211,70,Female,Amputee (prosthetic user),Prosthetic,Summer,High,XS
212,43,Male,Amputee (prosthetic user),Cane,Sport,Medium,XS
213,40,Non-binary,Post-stroke / hemiplegia,None,Summer,Low,XXL
214,54,Female,Dwarfism / short stature,None,Loungewear,Low,S
215,48,Female,Dwarfism / short stature,None,Workwear,Medium,XXL
216,16,Male,Amputee (prosthetic user),Wheelchair,Sport,High,S
217,72,Female,Limb difference (upper),None,Winter,Medium,XS
218,42,Non-binary,Wheelchair user,Walker,Summer,Low,XXL
219,72,Female,Visual impairment,None,Workwear,Low,XL
220,67,Male,Post-stroke / hemiplegia,None,Formal,Low,L
221,28,Non-binary,Limited hand dexterity,None,Summer,Low,L
222,56,Non-binary,Limb difference (upper),None,Winter,Medium,L
223,18,Female,Amputee (prosthetic user),Wheelchair,Loungewear,High,S
224,54,Male,Post-stroke / hemiplegia,None,Workwear,High,XXL
225,21,Male,Visual impairment,None,Sport,Medium,M
226,23,Female,Dwarfism / short stature,None,Summer,Low,M
227,42,Non-binary,Limb difference (upper),None,Workwear,High,L
228,24,Female,Visual impairment,None,Workwear,Medium,M
229,52,Non-binary,Limb difference (lower),None,Summer,High,L
230,48,Female,Amputee (prosthetic user),Wheelchair,Winter,Low,XL
231,66,Male,Post-stroke / hemiplegia,None,Summer,Medium,XS
232,57,Non-binary,Limb difference (lower),None,Loungewear,High,L
233,59,Non-binary,Post-stroke / hemiplegia,None,Summer,High,S
234,39,Male,Amputee (prosthetic user),Wheelchair,Workwear,High,M
235,30,Female,Limited hand dexterity,None,Casual,High,L
236,74,Non-binary,Wheelchair user,Wheelchair,Loungewear,High,S
237,69,Female,Limited hand dexterity,None,Summer,Medium,M
238,47,Non-binary,None / general accessibility,None,Loungewear,High,XS
239,47,Non-binary,Limb difference (lower),None,Summer,High,L
240,39,Non-binary,Limb difference (lower),None,Winter,Medium,XL
241,56,Non-binary,Wheelchair user,None,Formal,High,XXL
242,67,Male,Limb difference (upper),None,Winter,Low,L
243,64,Non-binary,Limited hand dexterity,None,Winter,Low,L
244,64,Non-binary,Visual impairment,None,Sport,Low,XS
245,73,Male,Limb difference (lower),None,Sport,Medium,M
246,67,Male,Post-stroke / hemiplegia,None,Formal,High,L
247,27,Non-binary,None / general accessibility,None,Summer,Low,S
248,54,Male,Visual impairment,None,Workwear,Medium,XL
249,17,Female,Sensory sensitivity,None,Workwear,Low,S
250,18,Non-binary,Amputee (prosthetic user),Cane,Loungewear,Medium,XXL
251,64,Female,Wheelchair user,Cane,Winter,High,S
252,52,Female,Limited hand dexterity,None,Sport,High,M
253,64,Non-binary,Post-stroke / hemiplegia,None,Sport,Medium,M
254,71,Female,Sensory sensitivity,None,Summer,Medium,XS
255,32,Female,Sensory sensitivity,None,Workwear,Medium,XL
256,74,Non-binary,Limb difference (upper),None,Sport,Low,XXL
257,64,Female,Post-stroke / hemiplegia,None,Casual,High,XXL
258,17,Non-binary,Wheelchair user,Prosthetic,Summer,Medium,S
259,17,Female,None / general accessibility,None,Formal,High,S
260,43,Female,None / general accessibility,None,Winter,High,XXL
261,69,Non-binary,Visual impairment,None,Casual,High,XXL
262,38,Female,Wheelchair user,Prosthetic,Casual,High,M
263,52,Male,Visual impairment,None,Sport,Medium,XXL
264,47,Male,Post-stroke / hemiplegia,None,Formal,Low,XL
265,48,Non-binary,Limb difference (lower),None,Workwear,Medium,S
266,16,Female,Limb difference (upper),None,Summer,Medium,XXL
267,34,Male,Limb difference (lower),None,Loungewear,Low,S
268,17,Non-binary,Sensory sensitivity,None,Winter,High,L
269,68,Female,Dwarfism / short stature,None,Casual,Medium,XS
270,59,Non-binary,Limb difference (upper),None,Casual,Medium,M
271,41,Non-binary,Limb difference (upper),None,Loungewear,High,M
272,47,Non-binary,Limited hand dexterity,None,Formal,Medium,XS
273,21,Non-binary,None / general accessibility,None,Sport,High,S
274,47,Non-binary,Limited hand dexterity,None,Summer,Medium,XXL
275,70,Non-binary,Limb difference (upper),None,Loungewear,Low,S
276,19,Male,Wheelchair user,Cane,Loungewear,Low,XS
277,70,Non-binary,Sensory sensitivity,None,Formal,Medium,L
278,26,Non-binary,Limb difference (lower),None,Winter,High,XL
279,71,Non-binary,Post-stroke / hemiplegia,None,Winter,High,S
280,74,Non-binary,Post-stroke / hemiplegia,None,Casual,Medium,XL
281,32,Female,Post-stroke / hemiplegia,None,Casual,High,M
282,53,Female,Sensory sensitivity,None,Loungewear,Low,M
283,39,Non-binary,Limited hand dexterity,None,Sport,High,XXL
284,20,Male,Limb difference (lower),None,Loungewear,Medium,S
285,67,Female,Limited hand dexterity,None,Casual,High,S
286,49,Male,None / general accessibility,None,Casual,Medium,S
287,21,Non-binary,Visual impairment,None,Formal,Low,XL
288,37,Non-binary,Sensory sensitivity,None,Formal,Low,M
289,26,Non-binary,Visual impairment,None,Casual,Medium,S
290,63,Non-binary,Visual impairment,None,Sport,Low,XS
291,31,Male,Wheelchair user,None,Sport,Low,XL
292,48,Male,Limb difference (lower),None,Formal,Medium,XS
293,24,Non-binary,Visual impairment,None,Loungewear,High,XS
294,74,Female,Limited hand dexterity,None,Loungewear,Medium,XL
295,21,Male,None / general accessibility,None,Loungewear,High,S
296,31,Male,None / general accessibility,None,Winter,High,XL
297,44,Female,Limb difference (upper),None,Winter,Low,XS
298,18,Female,Amputee (prosthetic user),Prosthetic,Winter,Low,L
299,35,Male,Amputee (prosthetic user),None,Sport,High,S
300,74,Male,Limited hand dexterity,None,Sport,High,XXL
301,51,Non-binary,None / general accessibility,None,Winter,Medium,L
302,34,Non-binary,None / general accessibility,None,Sport,Medium,XL
303,41,Female,None / general accessibility,None,Casual,High,XS
304,18,Non-binary,Dwarfism / short stature,None,Summer,Low,L
305,34,Male,Amputee (prosthetic user),Prosthetic,Sport,Medium,L
306,35,Non-binary,Post-stroke / hemiplegia,None,Casual,Medium,L
307,47,Non-binary,Limb difference (lower),None,Sport,Medium,S
308,22,Male,Amputee (prosthetic user),None,Summer,Low,XS
309,67,Male,Post-stroke / hemiplegia,None,Winter,High,M
310,56,Non-binary,Visual impairment,None,Casual,High,XL
311,48,Female,Dwarfism / short stature,None,Winter,Low,L
312,55,Non-binary,Limb difference (lower),None,Summer,Medium,XXL
313,54,Female,Wheelchair user,Walker,Sport,Medium,XS
314,33,Non-binary,None / general accessibility,None,Formal,Low,XXL
315,55,Male,Amputee (prosthetic user),None,Sport,High,M
316,16,Female,Limited hand dexterity,None,Workwear,Low,L
317,26,Non-binary,Dwarfism / short stature,None,Workwear,High,XXL
318,43,Male,Dwarfism / short stature,None,Workwear,High,XXL
319,72,Male,Limb difference (upper),None,Formal,Medium,XXL
320,40,Female,Limb difference (upper),None,Sport,Low,S
321,65,Non-binary,Visual impairment,None,Winter,Medium,XS
322,38,Non-binary,Visual impairment,None,Winter,Low,XS
323,46,Male,Dwarfism / short stature,None,Loungewear,Medium,L
324,45,Male,Limb difference (lower),None,Sport,Medium,XXL
325,57,Non-binary,Limb difference (lower),None,Workwear,Low,XS
326,50,Male,Visual impairment,None,Summer,High,XS
327,22,Female,Limited hand dexterity,None,Loungewear,High,L
328,31,Non-binary,Amputee (prosthetic user),Prosthetic,Loungewear,Medium,S
329,41,Male,Dwarfism / short stature,None,Sport,Medium,XS
330,63,Non-binary,Limb difference (upper),None,Winter,High,L
331,72,Non-binary,Dwarfism / short stature,None,Sport,Low,S
332,67,Non-binary,Post-stroke / hemiplegia,None,Casual,Low,S
333,64,Male,Limb difference (upper),None,Summer,Low,M
334,17,Female,Limb difference (upper),None,Casual,Low,L
335,16,Male,Post-stroke / hemiplegia,None,Formal,Medium,XL
336,63,Non-binary,Sensory sensitivity,None,Workwear,High,M
337,27,Female,Limited hand dexterity,None,Summer,High,XS
338,20,Male,Post-stroke / hemiplegia,None,Loungewear,Low,M
339,52,Female,None / general accessibility,None,Workwear,Medium,XXL
340,47,Female,Post-stroke / hemiplegia,None,Casual,Medium,XS
341,74,Male,Limb difference (lower),None,Summer,High,L
342,70,Male,Limb difference (lower),None,Loungewear,Low,S
343,24,Non-binary,Post-stroke / hemiplegia,None,Loungewear,High,XS
344,56,Female,Post-stroke / hemiplegia,None,Winter,Medium,S
345,50,Male,Limb difference (lower),None,Casual,High,XXL
346,34,Non-binary,Limited hand dexterity,None,Workwear,Low,M
347,63,Non-binary,Limb difference (lower),None,Summer,High,S
348,31,Male,Sensory sensitivity,None,Formal,Medium,S
349,18,Non-binary,Visual impairment,None,Formal,High,XS
350,35,Non-binary,Visual impairment,None,Loungewear,Medium,XL
351,39,Female,None / general accessibility,None,Winter,High,XXL
352,69,Female,None / general accessibility,None,Summer,High,M
353,71,Female,Visual impairment,None,Casual,Medium,L
354,48,Female,Limb difference (upper),None,Workwear,Low,M
355,39,Male,Dwarfism / short stature,None,Sport,Medium,L
356,67,Male,Wheelchair user,Cane,Summer,Medium,XS
357,26,Non-binary,Limited hand dexterity,None,Workwear,High,L
358,64,Non-binary,Amputee (prosthetic user),Walker,Summer,High,XS
359,23,Non-binary,Amputee (prosthetic user),Wheelchair,Sport,High,L
360,51,Male,Dwarfism / short stature,None,Casual,Medium,XS
361,53,Non-binary,Limb difference (lower),None,Casual,High,XXL
362,55,Male,Visual impairment,None,Formal,High,L
363,35,Non-binary,Amputee (prosthetic user),Walker,Workwear,Low,M
364,50,Female,Limb difference (lower),None,Loungewear,Medium,M
365,63,Male,None / general accessibility,None,Summer,High,XXL
366,40,Male,Limb difference (lower),None,Sport,Low,XL
367,50,Female,Post-stroke / hemiplegia,None,Sport,High,XXL
368,40,Male,None / general accessibility,None,Sport,Low,XL
369,44,Female,Visual impairment,None,Sport,High,XXL
370,33,Male,Post-stroke / hemiplegia,None,Workwear,High,XS
371,61,Non-binary,Limb difference (upper),None,Loungewear,High,M
372,33,Non-binary,Visual impairment,None,Winter,High,XXL
373,17,Male,Dwarfism / short stature,None,Winter,High,L
374,69,Female,Dwarfism / short stature,None,Casual,Medium,M
375,50,Male,Visual impairment,None,Sport,Medium,S
376,31,Male,Sensory sensitivity,None,Formal,Low,M
377,56,Non-binary,Limited hand dexterity,None,Summer,High,XXL
378,51,Male,Dwarfism / short stature,None,Winter,Medium,XL
379,48,Non-binary,Visual impairment,None,Loungewear,Low,S
380,19,Non-binary,Visual impairment,None,Summer,High,S
381,48,Male,Amputee (prosthetic user),Prosthetic,Sport,High,XXL
382,29,Female,Sensory sensitivity,None,Workwear,Medium,XXL
383,36,Male,Amputee (prosthetic user),Walker,Formal,Medium,L
384,63,Female,Sensory sensitivity,None,Winter,High,L
385,35,Female,Amputee (prosthetic user),Prosthetic,Workwear,High,L
386,71,Male,Visual impairment,None,Summer,High,S
387,23,Male,Limb difference (upper),None,Winter,Medium,M
388,22,Male,Dwarfism / short stature,None,Winter,High,XS
389,18,Male,Limb difference (upper),None,Summer,Low,M
390,32,Non-binary,Amputee (prosthetic user),Wheelchair,Summer,Medium,XS
391,48,Female,Sensory sensitivity,None,Sport,Low,L
392,63,Female,Wheelchair user,Walker,Sport,Low,L
393,27,Female,Limited hand dexterity,None,Formal,Low,M
394,74,Non-binary,Limited hand dexterity,None,Winter,Medium,S
395,66,Male,Visual impairment,None,Sport,Medium,XXL
396,37,Non-binary,Visual impairment,None,Loungewear,Medium,XL
397,70,Male,Wheelchair user,None,Sport,Low,S
398,37,Non-binary,Dwarfism / short stature,None,Workwear,High,L
399,61,Female,Limited hand dexterity,None,Formal,Medium,XS
400,45,Male,Wheelchair user,Prosthetic,Winter,High,L
